accountName,weekEnding,organicVisits,paidSearchCost,displayCost,premiumDisplayCost,remarketingCost
happyAlpaca,03/15/15,201.9755693,255.0210388,44.95513702,0,18.85452539
happyAlpaca,03/22/15,195.082117,300.2862251,27.12824856,0,25.2055134
happyAlpaca,03/29/15,169.9716908,296.9265449,61.1797265,0,23.83744682
happyAlpaca,04/05/15,199.0513017,270.3705583,31.13854555,0,19.97584562
happyAlpaca,04/12/15,206.0463091,245.3482744,40.00212668,0,21.5818508
happyAlpaca,04/19/15,178.0696266,310.917866,39.28530444,0,21.75084584
happyAlpaca,04/26/15,217.9204102,316.4223406,45.18703226,0,23.37044578
happyAlpaca,05/03/15,226.9753569,312.6793768,48.55451465,0,21.51228689
happyAlpaca,05/10/15,190.047165,213.0546081,50.45384228,0,21.29031557
happyAlpaca,05/17/15,195.0636573,286.2858406,34.6943296,0,16.93584475
happyAlpaca,05/24/15,204.9459415,351.9267313,45.05896643,0,29.75786823
happyAlpaca,05/31/15,218.9437746,289.8110061,68.37723947,0,14.87855051
happyAlpaca,06/07/15,231.0876865,289.5742937,48.67544984,0,18.87948389
happyAlpaca,06/14/15,229.0763289,193.4856448,49.93898685,0,18.51491538
happyAlpaca,06/21/15,224.9616043,303.1096884,47.7054783,0,18.08381304
happyAlpaca,06/28/15,200.0532888,305.3526066,48.76160368,0,17.80959291
happyAlpaca,07/05/15,215.9184087,325.7201725,47.30642437,0,18.19921277
